 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
       332        12  0.214133E-03  -7727.5881  -7727.6524      0.0000
       333        12  0.214133E-03  -7727.6517  -7727.7160      0.0000
       334        12  0.214133E-03  -7726.9255  -7726.9898      0.0000
       335        12  0.214133E-03  -7727.7744  -7727.8386      0.0005
       336        12  0.214133E-03  -7726.8256  -7726.8898      0.0000
       337        12  0.214133E-03  -7727.5974  -7727.6616      0.0000
       338        12  0.214133E-03  -7727.4735  -7727.5377      0.0000
       339        12  0.214133E-03  -7727.6146  -7727.6788      0.0000
       340        12  0.214133E-03  -7726.9631  -7727.0273      0.0000
       341        12  0.214133E-03  -7727.4063  -7727.4705      0.0000
       342        12  0.214133E-03  -7726.8265  -7726.8908      0.0000
       343        12  0.214133E-03  -7727.4023  -7727.4666      0.0000
       344        12  0.214133E-03  -7727.4820  -7727.5462      0.0000
       345        12  0.214133E-03  -7727.4042  -7727.4684      0.0000
       346        12  0.214133E-03  -7726.6856  -7726.7498      0.0000
       347        12  0.214133E-03  -7727.3947  -7727.4589      0.0000
       348        12  0.214133E-03  -7726.7692  -7726.8334      0.0000
       349        12  0.214133E-03  -7727.4260  -7727.4902      0.0000
       350        12  0.214133E-03  -7727.4250  -7727.4892      0.0000
       351        12  0.214133E-03  -7727.3895  -7727.4538      0.0000
       352        12  0.214133E-03  -7726.8845  -7726.9488      0.0000
       353        12  0.214133E-03  -7727.3632  -7727.4274      0.0000
       354        12  0.214133E-03  -7726.6853  -7726.7495      0.0000
       355        12  0.214133E-03  -7727.2861  -7727.3504      0.0000
       356        12  0.214133E-03  -7727.3689  -7727.4332      0.0000
       357        12  0.214133E-03  -7727.3142  -7727.3784      0.0000
       358        12  0.214133E-03  -7726.6977  -7726.7619      0.0000
       359        12  0.214133E-03  -7727.3502  -7727.4144      0.0000
       360        12  0.214133E-03  -7726.6774  -7726.7416      0.0000
       361        12  0.214133E-03  -7727.3112  -7727.3754      0.0000
       362        12  0.214133E-03  -7727.3421  -7727.4063      0.0000
       363        12  0.214133E-03  -7727.3110  -7727.3753      0.0000
       364        12  0.214133E-03  -7726.8140  -7726.8782      0.0000
       365        12  0.214133E-03  -7726.7182  -7726.7825      0.0000
       366        12  0.214133E-03  -7726.6982  -7726.7625      0.0000
       367        12  0.214133E-03  -7726.8102  -7726.8745      0.0000
       368        12  0.214133E-03  -7726.8185  -7726.8828      0.0000
       369        12  0.214133E-03  -7726.7971  -7726.8613      0.0000
       370        12  0.214133E-03  -7726.8670  -7726.9312      0.0000
       371        12  0.214133E-03  -7726.7892  -7726.8534      0.0000
       372        12  0.214133E-03  -7726.7925  -7726.8567      0.0000
       373        12  0.214133E-03  -7726.8181  -7726.8824      0.0000
       374        12  0.214133E-03  -7726.8313  -7726.8956      0.0000
